Date,Sales,Promotions,Season,Economic_Index
2019-01-31,20993,0,Winter,0.8081228784700958
2019-02-28,25223,0,Spring,0.9973486124550783
2019-03-31,30955,0,Summer,1.0060230209941026
2019-04-30,34546,0,Fall,1.2463242112485287
2019-05-31,30191,1,Winter,0.9807639035218878
2019-06-30,27031,0,Spring,1.0301547342333612
2019-07-31,26158,1,Summer,0.9965288230294757
2019-08-31,20034,0,Fall,0.8831321962380467
2019-09-30,14400,0,Winter,1.114282281451502
2019-10-31,15585,1,Spring,1.0751933032686773
2019-11-30,15412,1,Summer,1.0791031947043046
2019-12-31,19568,0,Fall,0.9090612545205261
2020-01-31,26483,1,Winter,1.14027943109361
2020-02-29,27673,0,Spring,0.8598148937207719
2020-03-31,32210,0,Summer,1.058685709380027
2020-04-30,36375,0,Fall,1.219045562580998
2020-05-31,34634,0,Winter,0.9009463674869311
2020-06-30,34128,0,Spring,0.9433702270397228
2020-07-31,27183,0,Summer,1.009965136508764
2020-08-31,21675,0,Fall,0.9496524345883801
2020-09-30,24271,0,Winter,0.8449336568933867
2020-10-31,20048,0,Spring,1.0068562974806028
2020-11-30,22474,1,Summer,0.8937696286273895
2020-12-31,23650,0,Fall,1.0473592430635181
2021-01-31,30911,0,Winter,0.9080575765766197
2021-02-28,37721,1,Spring,1.154993440501754
2021-03-31,39358,0,Summer,0.9216746707663763
2021-04-30,44251,0,Fall,0.9677938483794324
2021-05-31,41458,0,Winter,1.081351721736967
2021-06-30,38916,0,Spring,0.8769135683566045
2021-07-31,33796,1,Summer,1.0227459934604128
2021-08-31,34204,1,Fall,1.1307142754282429
2021-09-30,27312,0,Winter,0.8392516765438772
2021-10-31,24384,1,Spring,1.0184633858532304
2021-11-30,29984,1,Summer,1.0259882794248423
2021-12-31,30058,0,Fall,1.0781822871777311
2022-01-31,38417,1,Winter,0.8763049289121918
2022-02-28,39580,0,Spring,0.8679543386915723
2022-03-31,45003,1,Summer,1.0521941565616897
2022-04-30,49893,1,Fall,1.0296984673233187
2022-05-31,50137,0,Winter,1.0250492850345876
2022-06-30,45842,0,Spring,1.0346448209496977
2022-07-31,40768,0,Summer,0.931997527842151
2022-08-31,35897,0,Fall,1.0232253697161005
2022-09-30,30382,1,Winter,1.0293072473298681
2022-10-31,31060,1,Spring,0.9285648581973632
2022-11-30,33418,0,Summer,1.1865774511144758
2022-12-31,40614,0,Fall,1.0473832920911788
2023-01-31,44687,0,Winter,0.8808696502797351
2023-02-28,45973,0,Spring,1.065655360863383
2023-03-31,54308,0,Summer,0.9025318329772678
2023-04-30,54729,0,Fall,1.0787084603742452
2023-05-31,53306,1,Winter,1.1158595579007404
2023-06-30,52723,0,Spring,0.9179317681648289
2023-07-31,49061,0,Summer,1.0963376129244322
2023-08-31,44362,1,Fall,1.0412780926936498
2023-09-30,37661,0,Winter,1.082206015999449
2023-10-31,37881,1,Spring,1.1896792982653948
2023-11-30,41002,1,Summer,0.975461188399713
2023-12-31,46451,0,Fall,0.924626383564251
